# DunedinPACE model: 173 CpG coefficients (Belsky et al. 2022, eLife 11:e73420)
# source: https://github.com/danbelsky/DunedinPACE (CC BY 4.0 publication data)
# intercept	n/a	n/a	-1.9498585554
probe	weight	model_mean	gold_standard_mean
cg25683495	-0.146092032600	0.8580305537	0.8580305537
cg25751054	0.013488489350	0.7153076769	0.7153076769
cg25772418	0.029776887242	0.8457418546	0.8457418546
cg25923729	0.000734048899	0.6390132227	0.6390132227
cg26094651	0.011774110891	0.7455425644	0.7455425644
cg26180383	0.015817461363	0.7047631872	0.7047631872
cg26264318	0.067011570232	0.1837777525	0.1837777525
cg26275850	-0.042831426544	0.9483167637	0.9483167637
cg26470501	-0.461670853917	0.6606952022	0.6606952022
cg26497348	0.131435850682	0.3005144431	0.3005144431
cg26981978	-0.094575789067	0.6807283772	0.6807283772
cg27113548	-0.037276372152	0.7383499388	0.7383499388
cg27165794	-0.299793544403	0.1172056545	0.1172056545
